abato	аббат.
uro	зоол.  (бык) тур, первобытный бык.
urogalo	орн.  глухарь.
urso	зоол.  медведь.
urtiko	бот.  крапива.
Urugvajo	гп. Уругвай.
Usono	гп. США, Соединённые Штаты Америки, Америка (только о США).
utero	1. анат.  матка;  2. утроба, чрево;
utila	полезный;
utopio	Σ! 1¶  утопия. 2¶ maj. Утопия (сказочный остров, придуманный Томасом Мором).
uverturo	муз.  увертюра.
uzi	vt (ion) использовать, употреблять (что-л.); (вос)пользоваться (чем-л.); прибегнуть (к чему-л.).
uzino	завод;
uzuro	1. ростовщичество, лихоимство; 2. редк. ростовщический процент, лихоимный процент, лихва (= procentego);
uzurpi	vt узурпировать, незаконно присвоить, незаконно завладеть, захватить.
vadi	vn идти вброд; идти с трудом, пробираться, брести (по глубокой грязи, снегу и т.п.).
vaflo	кул.  вафля.
vagi	vn бродить, блуждать;  слоняться;  странствовать, скитаться;
vagino	анат. влагалище (входная часть женских половых органов);
vagono	вагон.
vakcinio	1. бот.  брусника (растение);  2. см.  vakcinibero.
